,,,89  Y  [ No Gas ] ,139  La  [ No Gas ] ,140  Ce  [ No Gas ] ,141  Pr  [ No Gas ] ,146  Nd  [ No Gas ] ,147  Sm  [ No Gas ] ,153  Eu  [ No Gas ] ,157  Gd  [ No Gas ] ,159  Tb  [ No Gas ] ,163  Dy  [ No Gas ] ,165  Ho  [ No Gas ] ,166  Er  [ No Gas ] ,169  Tm  [ No Gas ] ,172  Yb  [ No Gas ] ,175  Lu  [ No Gas ] ,206  Pb  [ No Gas ] ,207  Pb  [ No Gas ] ,208  Pb  [ No Gas ] ,232  Th  [ No Gas ] ,238  U  [ No Gas ] ,7  Li ( ISTD )  [ No Gas ] ,72  Ge ( ISTD )  [ No Gas ] ,115  In ( ISTD )  [ No Gas ] ,209  Bi ( ISTD )  [ No Gas ] ,,89 -> 105  Y  [ O2 ] ,140 -> 140  Ce  [ O2 ] ,139 -> 155  La  [ O2 ] ,140 -> 156  Ce  [ O2 ] ,141 -> 157  Pr  [ O2 ] ,146 -> 162  Nd  [ O2 ] ,147 -> 163  Sm  [ O2 ] ,153 -> 169  Eu  [ O2 ] ,157 -> 173  Gd  [ O2 ] ,159 -> 175  Tb  [ O2 ] ,163 -> 179  Dy  [ O2 ] ,165 -> 181  Ho  [ O2 ] ,166 -> 182  Er  [ O2 ] ,169 -> 185  Tm  [ O2 ] ,172 -> 172  Yb  [ O2 ] ,172 -> 188  Yb  [ O2 ] ,175 -> 191  Lu  [ O2 ] ,206 -> 222  Pb  [ O2 ] ,207 -> 223  Pb  [ O2 ] ,208 -> 208  Pb  [ O2 ] ,208 -> 224  Pb  [ O2 ] ,232 -> 232  Th  [ O2 ] ,232 -> 248  Th  [ O2 ] ,238 -> 238  U  [ O2 ] ,238 -> 254  U  [ O2 ] ,72 -> 72  Ge ( ISTD )  [ O2 ] ,115 -> 115  In ( ISTD )  [ O2 ] ,209 -> 209  Bi ( ISTD )  [ O2 ] 
2% HNO3,Level1,[ppb],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
BCC5Yb0.0001,Level2,[ppb],0.00105,0.00155,0.00315,0.00036,0.00105,0.00024,0.00005,0.0002,0.00004,0.0002,0.00004,0.00012,0.00002,0.0001,0.00002,0.00085,0.00085,0.00085,0.00053,0.00014,,,,,,0.00105,0.00155,0.00315,0.00315,0.00036,0.00105,0.00024,0.00005,0.0002,0.00004,0.0002,0.00004,0.00012,0.00002,0.0001,0.0001,0.00002,0.00085,0.00085,0.00085,0.00085,0.00053,0.00053,0.00014,0.00014,,,
BCC5Yb0.001,Level3,[ppb],0.0105,0.0155,0.0315,0.00355,0.0105,0.00235,0.0005,0.002,0.00035,0.00195,0.000415,0.00115,0.00015,0.001,0.000155,0.0085,0.0085,0.0085,0.00525,0.00135,,,,,,0.0105,0.0155,0.0315,0.0315,0.00355,0.0105,0.00235,0.0005,0.002,0.00035,0.00195,0.000415,0.00115,0.00015,0.001,0.001,0.000155,0.0085,0.0085,0.0085,0.0085,0.00525,0.00525,0.00135,0.00135,,,
BCC5Yb0.005,Level4,[ppb],0.0525,0.0775,0.1575,0.0178,0.0525,0.0118,0.0025,0.01,0.0018,0.0098,0.0021,0.0058,0.0008,0.005,0.0008,0.0425,0.0425,0.0425,0.0263,0.0068,,,,,,0.0525,0.0775,0.1575,0.1575,0.0178,0.0525,0.0118,0.0025,0.01,0.0018,0.0098,0.0021,0.0058,0.0008,0.005,0.005,0.0008,0.0425,0.0425,0.0425,0.0425,0.0263,0.0263,0.0068,0.0068,,,
BCC5Yb0.01,Level5,[ppb],0.105,0.155,0.315,0.0355,0.105,0.0235,0.005,0.02,0.0035,0.0195,0.0042,0.0115,0.0015,0.01,0.0016,0.085,0.085,0.085,0.0525,0.0135,,,,,,0.105,0.155,0.315,0.315,0.0355,0.105,0.0235,0.005,0.02,0.0035,0.0195,0.0042,0.0115,0.0015,0.01,0.01,0.0016,0.085,0.085,0.085,0.085,0.0525,0.0525,0.0135,0.0135,,,
BCC5Yb0.02,Level6,[ppb],0.21,0.31,0.63,0.071,0.21,0.047,0.01,0.04,0.007,0.039,0.008,0.023,0.003,0.02,0.003,0.17,0.17,0.17,0.105,0.027,,,,,,0.21,0.31,0.63,0.63,0.071,0.21,0.047,0.01,0.04,0.007,0.039,0.008,0.023,0.003,0.02,0.02,0.003,0.17,0.17,0.17,0.17,0.105,0.105,0.027,0.027,,,
BCC5Yb0.05,Level7,[ppb],0.525,0.775,1.575,0.178,0.525,0.118,0.025,0.1,0.018,0.098,0.021,0.058,0.008,0.05,0.008,0.425,0.425,0.425,0.263,0.068,,,,,,0.525,0.775,1.575,1.575,0.178,0.525,0.118,0.025,0.1,0.018,0.098,0.021,0.058,0.008,0.05,0.05,0.008,0.425,0.425,0.425,0.425,0.263,0.263,0.068,0.068,,,
BCC5Yb0.1,Level8,[ppb],1.05,1.55,3.15,0.355,1.05,0.235,0.05,0.2,0.035,0.195,0.042,0.115,0.015,0.1,0.016,0.85,0.85,0.85,0.525,0.135,,,,,,1.05,1.55,3.15,3.15,0.355,1.05,0.235,0.05,0.2,0.035,0.195,0.042,0.115,0.015,0.1,0.1,0.016,0.85,0.85,0.85,0.85,0.525,0.525,0.135,0.135,,,
BCC5Yb1,Level9,[ppb],10.5,15.5,31.5,3.55,10.5,2.35,0.5,2,0.35,1.95,0.415,1.15,0.15,1,0.155,8.5,8.5,8.5,5.25,1.35,,,,,,10.5,15.5,31.5,31.5,3.55,10.5,2.35,0.5,2,0.35,1.95,0.415,1.15,0.15,1,1,0.155,8.5,8.5,8.5,8.5,5.25,5.25,1.35,1.35,,,
S-TTN (Y9E5),Sample1,[ppb],3.007702526,0.534439992,2.315319797,0.405419891,2.031877975,0.571662166,0.117652249,0.464019664,0.107642502,0.70344878,0.143531719,0.384645894,0.051608041,0.295664779,0.026578644,0.066144808,0.066144808,0.066144808,0.279065701,0.275594985,,,,,,3.007702526,2.315319797,0.534439992,2.315319797,0.405419891,2.031877975,0.571662166,0.117652249,0.464019664,0.107642502,0.70344878,0.143531719,0.384645894,0.051608041,0.295664779,0.295664779,0.026578644,0.066144808,0.066144808,0.066144808,0.066144808,0.279065701,0.279065701,0.275594985,0.275594985,,,
S-TTN (Y5E4),Sample2,[ppb],0.167094585,0.029691111,0.128628878,0.022523327,0.11288211,0.031759009,0.006536236,0.02577887,0.005980139,0.039080488,0.007973984,0.021369216,0.002867113,0.016425821,0.001476591,0.003674712,0.003674712,0.003674712,0.01550365,0.015310833,,,,,,0.167094585,0.128628878,0.029691111,0.128628878,0.022523327,0.11288211,0.031759009,0.006536236,0.02577887,0.005980139,0.039080488,0.007973984,0.021369216,0.002867113,0.016425821,0.016425821,0.001476591,0.003674712,0.003674712,0.003674712,0.003674712,0.01550365,0.01550365,0.015310833,0.015310833,,,
S-TTN (Y5E6),Sample3,[ppb],16.70945848,2.969111068,12.86288776,2.252332725,11.28821097,3.175900921,0.653623604,2.577887021,0.5980139,3.90804878,0.797398441,2.136921632,0.286711337,1.642582104,0.147659133,0.367471158,0.367471158,0.367471158,1.550365008,1.531083251,,,,,,16.70945848,12.86288776,2.969111068,12.86288776,2.252332725,11.28821097,3.175900921,0.653623604,2.577887021,0.5980139,3.90804878,0.797398441,2.136921632,0.286711337,1.642582104,1.642582104,0.147659133,0.367471158,0.367471158,0.367471158,0.367471158,1.550365008,1.550365008,1.531083251,1.531083251,,,
S-TTN (Y1E4),Sample4,[ppb],0.033418917,0.005938222,0.025725776,0.004504665,0.022576422,0.006351802,0.001307247,0.005155774,0.001196028,0.007816098,0.001594797,0.004273843,0.000573423,0.003285164,0.000295318,0.000734942,0.000734942,0.000734942,0.00310073,0.003062167,,,,,,0.033418917,0.025725776,0.005938222,0.025725776,0.004504665,0.022576422,0.006351802,0.001307247,0.005155774,0.001196028,0.007816098,0.001594797,0.004273843,0.000573423,0.003285164,0.003285164,0.000295318,0.000734942,0.000734942,0.000734942,0.000734942,0.00310073,0.00310073,0.003062167,0.003062167,,,
S-TTN (Y1E5),Sample5,[ppb],0.33418917,0.059382221,0.257257755,0.045046655,0.225764219,0.063518018,0.013072472,0.05155774,0.011960278,0.078160976,0.015947969,0.042738433,0.005734227,0.032851642,0.002953183,0.007349423,0.007349423,0.007349423,0.0310073,0.030621665,,,,,,0.33418917,0.257257755,0.059382221,0.257257755,0.045046655,0.225764219,0.063518018,0.013072472,0.05155774,0.011960278,0.078160976,0.015947969,0.042738433,0.005734227,0.032851642,0.032851642,0.002953183,0.007349423,0.007349423,0.007349423,0.007349423,0.0310073,0.0310073,0.030621665,0.030621665,,,